1,8550
0,3609
1,654
1,17913
0,145
0,2550
1,5970
0,2461
1,33806
0,17
0,1
0,17
0,7186
1,370
0,159
0,10290
0,54
0,4
1,40078
0,481
0,14300
0,1
0,16
0,18
1,1167
0,7
1,27473
0,47
0,127
0,286
0,35
1,1
0,63
0,15
0,17
0,574
1,1815
0,173
0,6
0,9172
0,5565
1,69
1,7723
0,39491
0,2020
1,1
0,16
1,17217
1,3717
1,3294
1,31
1,40143
0,49198
0,15221
0,191
0,49491
1,2842
1,2797
0,25825
0,7165
1,40
0,3
1,47
0,6
0,8631
0,7375
0,9649
0,3530
0,21
1,508
1,8
0,16
1,20349
1,4506
1,279
1,111
0,1472
0,2768
0,36002
0,168
0,631
0,50
0,44415
1,800
0,1847
0,1353
0,115
0,28497
1,2611
0,697
1,1728
0,1
1,32
0,57
1,358
0,522
1,4
0,612
0,2599
1,2
1,5
0,47719
1,8
1,889
0,345
0,1136
0,242
1,10958
0,1178
0,17
1,3
1,20063
0,1992
0,4
1,7485
1,1406
0,168
1,87
1,602
0,1638
0,265
0,15042
1,42
0,16832
0,12
0,49373
0,2
1,2880
0,28
1,761
0,2
1,412
0,30
0,40
0,1244
0,146
1,9
0,30606
0,3
1,2
1,327
0,27188
0,29109
0,4
0,22156
0,145
1,11837
1,12173
1,41
0,49
0,11
1,1256
0,13969
1,18099
1,202
0,9684
0,31846
0,1303
1,5233
1,109
0,35427
0,29287
0,2080
1,74
0,303
1,34
1,4342
1,172
1,46482
0,4
1,30884
0,10994
0,1
1,36777
1,22311
0,4502
1,104
0,2
0,2258
0,26534
0,10
1,1693
1,15000
1,890
0,14941
1,5200
1,89
0,610
0,790
1,24567
0,2514
0,9
1,55
0,39162
1,1007
1,117
1,1203
1,6
1,34659
1,13
0,21797
1,6
0,123
1,2306
0,431
0,763
0,205
0,25
0,5509
0,663
1,920
0,1340
0,36399
1,179
0,17631
0,2
0,96
1,624
0,549
0,1383
1,3269
0,114
1,26
1,11056
0,37000
1,8808
1,39
1,10
0,1006
1,3
0,12883
1,592
1,4360
0,13
0,2387
1,4
0,183
0,1789
0,6300
1,207
1,33724
1,3747
0,23521
0,67
0,2285
0,8867
1,3101
0,33604
1,4
0,99
0,21
1,4084
1,105
1,19222
1,24966
0,18158
0,45453
0,329
1,13
1,625
0,33
0,45
0,2427
1,14065
0,37
1,213
1,14
1,42281
0,7631
0,275
0,204
1,9059
0,39832
0,9638
0,26
0,10692
1,22052
0,29487
1,1265
1,8160
1,10
1,232
0,30695
1,696
1,296
0,7309
0,3
0,45299
0,52
0,1
0,5550
0,16061
0,2100
0,7392
0,6111
0,28824
1,810
1,15492
1,534
0,21235
1,858
0,2
0,4657
1,1
1,4492
0,35641
0,12254
0,6213
1,9804
0,49110
1,31345
1,3
0,137
0,11385
1,2
1,2387
1,9581
0,1
0,9
1,19562
0,2436
1,14530
1,25
0,35087
1,650
0,5731
0,1481
0,437
1,97
0,8280
1,10875
1,422
0,791
1,9719
0,1
0,23043
0,22546
0,292
1,2
1,5320
0,5
1,10
1,83
0,3253
0,1128
1,6808
0,39912
1,5172
0,175
0,26391
0,679
0,3
1,27741
1,24082
1,3
0,692
0,8297
0,80
0,843
0,26940
0,2092
1,37
0,2655
1,38
1,2622
0,3115
1,23585
1,25069
1,1705
0,11
1,427
1,230
0,14530
0,788
0,27979
1,44389
1,2713
1,93
0,1
0,292
1,42296
0,1307
0,484
0,115
0,8
0,389
0,7576
1,36924
0,180
0,3128
0,27230
0,2
0,28
0,475
1,83
0,36531
1,8931
0,9726
1,2378
1,7889
1,1504
1,481
1,31
0,256
1,10779
1,6
0,64
0,17928
1,1031
0,3837
1,5605
0,145
0,3127
1,42369
1,548
1,12
0,5
1,844
0,1459
1,8
0,7
0,18521
1,56
0,1485
1,3
1,799
1,31
1,75
0,14832
0,194
1,1251
1,1
1,8046
0,167
1,19204
0,213
1,20782
1,43
0,5453
0,14846
0,2
0,27839
0,74
1,10
1,5
1,761
0,21366
1,96
1,9534
0,61
0,21355
0,2616
0,45881
0,8
0,19595
1,29352
0,3
0,1227
0,11604
1,11151
0,6267
0,1055
1,2
1,425
1,1
1,1
0,9106
1,33562
